Microorganism,Code,Library,Type
Salmonella,27268008,SNOMED,bacteria
Salmonella hirschfeldii,32488009,SNOMED,bacteria
Serratia,42025004,SNOMED,bacteria
Serratia liquefaciens,23787004,SNOMED,bacteria
Serratia marcescens,33522002,SNOMED,bacteria
Serratia ureilytica,450416004,SNOMED,bacteria
Shigella,77352002,SNOMED,bacteria
Shigella boydii,55462008,SNOMED,bacteria
Shigella dysenteriae,43612004,SNOMED,bacteria
Shigella flexneri,85729005,SNOMED,bacteria
Shigella sonnei,4298009,SNOMED,bacteria
Sphingomonas paucimobilis,243350004,SNOMED,bacteria
Staphylococcus,65119002,SNOMED,bacteria
Staphylococcus aureus,3092008,SNOMED,bacteria
Staphylococcus capitis,40347003,SNOMED,bacteria
Staphylococcus caprae,76969000,SNOMED,bacteria
Staphylococcus cohnii,66872005,SNOMED,bacteria
Staphylococcus epidermidis,60875001,SNOMED,bacteria
Staphylococcus haemolyticus,83452006,SNOMED,bacteria
Staphylococcus hominis,44827007,SNOMED,bacteria
Staphylococcus hominis hominis,432505008,SNOMED,bacteria
Staphylococcus lugdunensis,103494005,SNOMED,bacteria
Staphylococcus pettenkoferi,428731005,SNOMED,bacteria
Staphylococcus saprophyticus,19743000,SNOMED,bacteria
Staphylococcus simulans,52122005,SNOMED,bacteria
Staphylococcus warneri,63550006,SNOMED,bacteria
Stenotrophomonas,115656007,SNOMED,bacteria
Stenotrophomonas maltophilia,113697002,SNOMED,bacteria
Streptococcus,58800005,SNOMED,bacteria
Streptococcus alpha-hemolytic,60631002,SNOMED,bacteria
Streptococcus anginosus,44304009,SNOMED,bacteria
Streptococcus anginosus group,415597009,SNOMED,bacteria
Streptococcus beta-hemolytic,53490009,SNOMED,bacteria
Streptococcus constellatus,76199005,SNOMED,bacteria
Streptococcus dysgalactiae,40812000,SNOMED,bacteria
Streptococcus gallolyticus,113985000,SNOMED,bacteria
Streptococcus intermedius,62170002,SNOMED,bacteria
Streptococcus mitis,57997003,SNOMED,bacteria
Streptococcus oralis,19870004,SNOMED,bacteria
Streptococcus parasanguinis,113990002,SNOMED,bacteria
Streptococcus pneumoniae,9861002,SNOMED,bacteria
Streptococcus pyogenes,80166006,SNOMED,bacteria
Streptococcus salivarius,39888004,SNOMED,bacteria
Streptococcus sanguinis,113993000,SNOMED,bacteria
Streptococcus viridans,31703004,SNOMED,bacteria
Streptococcus viridans group,31703004,SNOMED,bacteria
Vancomycin resistant Enterococcus (VRE),113727004,SNOMED,bacteria
Vibrio cholerae,75953000,SNOMED,bacteria
Vibrio parahaemolyticus,11736008,SNOMED,bacteria
Vibrio vulnificus,55905000,SNOMED,bacteria
Yersinia pestis,54365000,SNOMED,bacteria
