Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
Ofloxacin,J01MA01,ATC,,,,,,,,,,,,94
Oxacillin,J01CF04,ATC,,,,,,,,,,,,95
Oxytetracycline,J01AA06,ATC,,,,,,,,,,,,96
Piperacillin,J01CA12,ATC,,,,,,,,,,,,97
Piperacillin/Beta-lactamase inhibitor,J01CR05,ATC,1,,,,,,,,,,,98
Pivmecillinam,J01CA08,ATC,1,,,,,,,,,,,100
Plazomicin,J01GB14,ATC,,,,,,,,,,,,101
Polymyxin B,J01XB02,ATC,,,,,,,,,,,,102
Procaine benzylpenicillin,J01CE09,ATC,,,,,,,,,,,,103
Pyrazinamide,J04AK01,ATC,,,,,,,,,,,,104
Quinupristin/Dalfopristin,J01FG02,ATC,,,,,,,,,,,,105
Retapamulin,D06AX13,ATC,,,,,,,,,,,,106
Rifampicin,J04AB02,ATC,1,,,,,,,,,,,107
Rifapentine,J04AB05,ATC,,,,,,,,,,,,108
Rifaximin,A07AA11,ATC,1,,,,,,,,,,,109
Roxithromycin,J01FA06,ATC,,,,,,,,,,,,110
Sparfloxacin,J01MA09,ATC,,,,,,,,,,,,111
Spectinomycin,J01XX04,ATC,,,,,,,,,,,,112
Streptomycin,J01GA01,ATC,,,,,,,,,,,,113
Sulfadiazine,J01EC02,ATC,,,,,,,,,,,,114
Sulfamethoxazole,J01EC01,ATC,1,,,,,,,,,,,115
Sulfamethoxazole/Trimethoprim,J01EE01,ATC,1,,,,,,,,,,,116
Sulfisoxazole,J01EB05,ATC,,,,,,,,,,,,117
Teicoplanin,J01XA02,ATC,,,,,,,,,,,,118
Telavancin,J01XA03,ATC,,,,,,,,,,,,119
Telithromycin,J01FA15,ATC,,,,,,,,,,,,120
Tetracycline,J01AA07,ATC,,,,,,,,,,,,121
Ticarcillin,J01CA13,ATC,,,,,,,,,,,,122
Ticarcillin/Beta-lactamase inhibitor,J01CR03,ATC,,,,,,,,,,,,123
Tigecycline,J01AA12,ATC,1,,,,,,,,,,,124
Tobramycin,J01GB01,ATC,1,,,,,,,,,,,125
Trimethoprim,J01EA01,ATC,1,,,,,,,,,,,126
Trovafloxacin,J01MA13,ATC,,,,,,,,,,,,127
Vancomycin,J01XA01,ATC,1,,,,,,1,,,1,,128
Voriconazole,J02AC03,ATC,,,,,,,,,,,,129
Xibornol,J01XX02,ATC,,,,,,,,,,,,130
